date,adjClose,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2020-02-27,21.78,0.0,0.0,0.0,21.78,21.78,"February 27, 20",21.78,21.78,0.0,0.0,0.0
2020-02-26,21.78,0.0,0.0,0.0,21.78,21.78,"February 26, 20",21.78,21.78,0.0,0.0,0.0
2020-02-25,21.78,0.0,0.0,0.0,21.78,21.78,"February 25, 20",21.78,21.78,0.0,0.0,0.0
2020-02-24,21.78,0.0,0.0,0.0,21.78,21.78,"February 24, 20",21.78,21.78,0.0,0.0,0.0
2020-02-21,21.78,0.0,0.0,0.0,21.78,21.78,"February 21, 20",21.78,21.78,0.0,0.0,0.0
2020-02-20,21.78,0.0,0.0,0.0,21.78,21.78,"February 20, 20",21.78,21.78,0.0,0.0,0.0
2020-02-19,21.78,0.0,0.0,0.0,21.78,21.78,"February 19, 20",21.78,21.78,0.0,0.0,0.0
2020-02-18,21.78,0.0,0.0,0.0,21.78,21.78,"February 18, 20",21.78,21.78,0.0,0.0,0.0
2020-02-14,21.78,-0.26,-0.0118,-1.18,21.78,22.05,"February 14, 20",21.63,22.04,10448.0,10448.0,21.82
2020-02-13,21.84,-0.13,-0.005920000000000001,-0.592,21.84,21.97,"February 13, 20",21.76,21.97,268.0,268.0,21.85667
2020-02-12,21.85,-0.2,-0.00907,-0.907,21.85,22.05,"February 12, 20",21.85,22.05,2857.0,2857.0,21.91667
2020-02-11,21.85,0.0,0.0,0.0,21.85,21.85,"February 11, 20",21.85,21.85,8.0,8.0,21.85
2020-02-10,21.95,0.08,0.0036600000000000005,0.366,21.95,21.95,"February 10, 20",21.87,21.87,632.0,632.0,21.92333
2020-02-07,21.91,-0.12,-0.005450000000000001,-0.545,21.91,22.07,"February 07, 20",21.9,22.03,1927.0,1927.0,21.96
2020-02-06,22.03,-0.08,-0.0036200000000000004,-0.362,22.03,22.11,"February 06, 20",22.02,22.11,1808.0,1808.0,22.05333
2020-02-05,22.16,-0.24,-0.01071,-1.071,22.16,22.48,"February 05, 20",22.16,22.4,2026.0,2026.0,22.26667
2020-02-04,21.59,0.0,0.0,0.0,21.59,21.59,"February 04, 20",21.59,21.59,327.0,327.0,21.59
2020-02-03,21.68,-0.7000000000000001,-0.03128,-3.128,21.68,22.38,"February 03, 20",21.68,22.38,2214.0,2214.0,21.91333
2020-01-31,22.35,0.0,0.0,0.0,22.35,22.35,"January 31, 20",22.35,22.35,25.0,25.0,22.35
2020-01-30,22.82,0.13,0.005730000000000001,0.5730000000000001,22.82,22.82,"January 30, 20",22.6,22.69,552.0,552.0,22.74667
2020-01-29,23.02,-0.14,-0.00604,-0.604,23.02,23.16,"January 29, 20",23.02,23.16,146.0,146.0,23.06667
2020-01-28,23.2,0.12,0.005200000000000001,0.52,23.2,23.2,"January 28, 20",23.08,23.08,212.0,212.0,23.16
2020-01-27,22.98,0.0,0.0,0.0,22.98,22.98,"January 27, 20",22.98,22.98,2.0,2.0,22.98
2020-01-24,23.57,-0.26,-0.010910000000000001,-1.091,23.57,23.83,"January 24, 20",23.52,23.83,1080.0,1080.0,23.64
2020-01-23,24.18,0.06,0.00249,0.249,24.18,24.18,"January 23, 20",24.09,24.12,1222.0,1222.0,24.15
2020-01-22,24.57,-0.27,-0.010870000000000001,-1.087,24.57,24.84,"January 22, 20",24.57,24.84,402.0,402.0,24.66
2020-01-21,25.2,0.0,0.0,0.0,25.2,25.2,"January 21, 20",25.2,25.2,97.0,97.0,25.2
2020-01-17,25.4,0.0,0.0,0.0,25.4,25.4,"January 17, 20",25.4,25.4,1.0,1.0,25.4
2020-01-16,25.37,0.07,0.0027700000000000003,0.277,25.37,25.37,"January 16, 20",25.3,25.3,500.0,500.0,25.34667
2020-01-15,25.13,0.07,0.0027900000000000004,0.279,25.13,25.13,"January 15, 20",25.06,25.06,557.0,557.0,25.10667
2020-01-14,25.3,-0.01,-0.0004,-0.04,25.3,25.38,"January 14, 20",25.3,25.31,400.0,400.0,25.32667
2020-01-13,25.18,0.0,0.0,0.0,25.18,25.18,"January 13, 20",25.18,25.18,586.0,586.0,25.18
2020-01-10,25.51,-0.16,-0.00623,-0.623,25.51,25.67,"January 10, 20",25.51,25.67,554.0,554.0,25.56333
2020-01-09,25.76,-0.25,-0.00961,-0.961,25.76,26.01,"January 09, 20",25.46,26.01,2053.0,2053.0,25.74333
2020-01-08,25.97,0.0,0.0,0.0,25.97,25.97,"January 08, 20",25.97,25.97,40.0,40.0,25.97
2020-01-07,27.04,-0.12,-0.00442,-0.442,27.04,27.16,"January 07, 20",26.87,27.16,1085.0,1085.0,27.02333
2020-01-06,27.23,-0.33,-0.011970000000000001,-1.197,27.23,27.56,"January 06, 20",27.23,27.56,1778.0,1778.0,27.34
2020-01-03,27.19,-0.19,-0.006940000000000001,-0.6940000000000001,27.19,27.38,"January 03, 20",26.98,27.38,520.0,520.0,27.18333
2020-01-02,26.22,0.0,0.0,0.0,26.22,26.22,"January 02, 20",26.22,26.22,76.0,76.0,26.22
2019-12-31,26.38,0.01,0.00038,0.038,26.38,26.38,"December 31, 19",26.37,26.37,352.0,352.0,26.37667
2019-12-30,26.43,0.01,0.00038,0.038,26.43,26.43,"December 30, 19",26.42,26.42,110.0,110.0,26.42667
2019-12-27,26.55,0.0,0.0,0.0,26.55,26.55,"December 27, 19",26.55,26.55,12.0,12.0,26.55
2019-12-26,26.58,0.0,0.0,0.0,26.58,26.58,"December 26, 19",26.58,26.58,6.0,6.0,26.58
2019-12-24,26.33,0.0,0.0,0.0,26.33,26.33,"December 24, 19",26.33,26.33,119.0,119.0,26.33
2019-12-23,26.08,0.0,0.0,0.0,26.08,26.08,"December 23, 19",26.08,26.08,4.0,4.0,26.08
2019-12-20,26.01,0.0,0.0,0.0,26.01,26.01,"December 20, 19",26.01,26.01,296.0,296.0,26.01
2019-12-19,26.26,-0.06,-0.0022800000000000003,-0.228,26.26,26.35,"December 19, 19",26.02,26.32,4061.0,4061.0,26.21
2019-12-18,26.16,0.0,0.0,0.0,27.44,27.44,"December 18, 19",27.44,27.44,2.0,2.0,27.44
2019-12-17,26.1,-0.1,-0.0036400000000000004,-0.364,27.38,27.48,"December 17, 19",27.38,27.48,1071.0,1071.0,27.41333
2019-12-16,25.84,0.0,0.0,0.0,27.11,27.11,"December 16, 19",27.11,27.11,1105.0,1105.0,27.11
2019-12-13,25.71,0.0,0.0,0.0,26.97,26.97,"December 13, 19",26.97,26.97,123.0,123.0,26.97
2019-12-12,25.55,-0.02,-0.00075,-0.075,26.8,26.82,"December 12, 19",26.8,26.82,100.0,100.0,26.80667
2019-12-11,25.33,0.0,0.0,0.0,26.57,26.57,"December 11, 19",26.57,26.57,100.0,100.0,26.57
2019-12-10,25.54,-0.02,-0.00075,-0.075,26.79,26.81,"December 10, 19",26.79,26.81,195.0,195.0,26.79667
2019-12-09,25.38,0.0,0.0,0.0,26.62,26.62,"December 09, 19",26.62,26.62,1.0,1.0,26.62
2019-12-06,25.41,0.0,0.0,0.0,26.66,26.66,"December 06, 19",26.66,26.66,77.0,77.0,26.66
2019-12-05,25.09,0.0,0.0,0.0,26.32,26.32,"December 05, 19",26.32,26.32,87.0,87.0,26.32
2019-12-04,25.13,-0.02,-0.00076,-0.076,26.36,26.38,"December 04, 19",26.36,26.38,184.0,184.0,26.36667
2019-12-03,24.25,-0.05,-0.0019600000000000004,-0.196,25.44,25.49,"December 03, 19",25.44,25.49,100.0,100.0,25.45667
2019-12-02,24.1,0.0,0.0,0.0,25.27,25.27,"December 02, 19",25.27,25.27,79.0,79.0,25.27
2019-11-29,23.93,0.0,0.0,0.0,25.1,25.1,"November 29, 19",25.1,25.1,2.0,2.0,25.1
2019-11-27,25.02,-0.07,-0.00266,-0.266,26.25,26.32,"November 27, 19",26.2,26.32,300.0,300.0,26.25667
2019-11-26,25.12,0.24,0.00919,0.919,26.35,26.35,"November 26, 19",26.11,26.11,150.0,150.0,26.27
2019-11-25,24.95,0.0,0.0,0.0,26.18,26.18,"November 25, 19",26.18,26.18,15.0,15.0,26.18
2019-11-22,24.96,0.0,0.0,0.0,26.18,26.18,"November 22, 19",26.18,26.18,15.0,15.0,26.18
2019-11-21,25.15,0.15,0.00572,0.5720000000000001,26.38,26.38,"November 21, 19",26.23,26.23,140.0,140.0,26.33
2019-11-20,24.56,0.0,0.0,0.0,25.76,25.76,"November 20, 19",25.76,25.76,15.0,15.0,25.76
2019-11-19,23.81,0.0,0.0,0.0,24.98,24.98,"November 19, 19",24.98,24.98,8.0,8.0,24.98
2019-11-18,24.49,0.0,0.0,0.0,25.69,25.69,"November 18, 19",25.69,25.69,15.0,15.0,25.69
2019-11-15,24.91,0.1,0.0038400000000000005,0.384,26.13,26.13,"November 15, 19",26.03,26.03,100.0,100.0,26.09667
2019-11-14,24.52,0.0,0.0,0.0,25.72,25.72,"November 14, 19",25.72,25.72,15.0,15.0,25.72
2019-11-13,24.67,0.0,0.0,0.0,25.88,25.88,"November 13, 19",25.88,25.88,7.0,7.0,25.88
2019-11-12,24.48,0.08,0.0031200000000000004,0.312,25.68,25.68,"November 12, 19",25.6,25.6,100.0,100.0,25.65333
2019-11-11,24.5,-0.06,-0.00233,-0.233,25.7,25.76,"November 11, 19",25.7,25.76,100.0,100.0,25.72
