order_day,gl,product_family,units,ops
7/24/20,Pantry,Consumables,788,3881
7/25/20,Pantry,Consumables,1152,5096
7/26/20,Pantry,Consumables,1026,4997
7/27/20,Pantry,Consumables,993,4916
7/28/20,Pantry,Consumables,901,4503
7/29/20,Pantry,Consumables,882,4327
7/30/20,Pantry,Consumables,1014,5098
7/31/20,Pantry,Consumables,1206,5282
8/1/20,Pantry,Consumables,1032,4851
8/2/20,Pantry,Consumables,892,4404
8/3/20,Pantry,Consumables,879,4071
8/4/20,Pantry,Consumables,881,3878
8/5/20,Pantry,Consumables,861,4042
8/6/20,Pantry,Consumables,944,4505
8/7/20,Pantry,Consumables,1015,4820
8/8/20,Pantry,Consumables,1078,4701
8/9/20,Pantry,Consumables,909,4277
8/10/20,Pantry,Consumables,837,3963
8/11/20,Pantry,Consumables,851,3638
8/12/20,Pantry,Consumables,762,3556
8/13/20,Pantry,Consumables,863,4147
8/14/20,Pantry,Consumables,1177,5228
8/15/20,Pantry,Consumables,1119,5216
8/16/20,Pantry,Consumables,941,4585
8/17/20,Pantry,Consumables,899,4313
8/18/20,Pantry,Consumables,851,4261
8/19/20,Pantry,Consumables,790,3695
8/20/20,Pantry,Consumables,834,4217
8/21/20,Pantry,Consumables,1130,5232
8/22/20,Pantry,Consumables,959,4976
8/23/20,Pantry,Consumables,933,4668
8/24/20,Pantry,Consumables,952,4810
8/25/20,Pantry,Consumables,832,3905
8/26/20,Pantry,Consumables,796,3683
8/27/20,Pantry,Consumables,879,4440
8/28/20,Pantry,Consumables,952,4721
8/29/20,Pantry,Consumables,1140,5124
8/30/20,Pantry,Consumables,971,4735
8/31/20,Pantry,Consumables,928,3990
9/1/20,Pantry,Consumables,856,4174
9/2/20,Pantry,Consumables,787,3511
9/3/20,Pantry,Consumables,833,4370
9/4/20,Pantry,Consumables,1059,4731
9/5/20,Pantry,Consumables,811,4184
9/6/20,Pantry,Consumables,676,3270
9/7/20,Pantry,Consumables,915,4625
9/8/20,Pantry,Consumables,780,3741
9/9/20,Pantry,Consumables,759,3579
9/10/20,Pantry,Consumables,815,3745
9/11/20,Pantry,Consumables,934,4408
9/12/20,Pantry,Consumables,963,4600
9/13/20,Pantry,Consumables,843,4328
9/14/20,Pantry,Consumables,1201,5901
9/15/20,Pantry,Consumables,811,3867
9/16/20,Pantry,Consumables,733,3458
9/17/20,Pantry,Consumables,895,3922
9/18/20,Pantry,Consumables,1134,5202
9/19/20,Pantry,Consumables,959,4425
9/20/20,Pantry,Consumables,975,4554
9/21/20,Pantry,Consumables,927,4511
9/22/20,Pantry,Consumables,838,4056
9/23/20,Pantry,Consumables,854,3817
9/24/20,Pantry,Consumables,1009,4860
9/25/20,Pantry,Consumables,1242,5644
9/26/20,Pantry,Consumables,1009,4771
9/27/20,Pantry,Consumables,849,4104
9/28/20,Pantry,Consumables,792,3910
9/29/20,Pantry,Consumables,765,3805
9/30/20,Pantry,Consumables,789,3803
10/1/20,Pantry,Consumables,793,4015
10/2/20,Pantry,Consumables,1015,4777
10/3/20,Pantry,Consumables,840,4463
10/4/20,Pantry,Consumables,898,4551
10/5/20,Pantry,Consumables,849,4515
10/6/20,Pantry,Consumables,801,4324
10/7/20,Pantry,Consumables,697,3611
10/8/20,Pantry,Consumables,808,3913
10/9/20,Pantry,Consumables,1091,5479
10/10/20,Pantry,Consumables,942,4920
10/11/20,Pantry,Consumables,890,4331
10/12/20,Pantry,Consumables,887,4248
10/13/20,Pantry,Consumables,776,3872
10/14/20,Pantry,Consumables,712,3792
10/15/20,Pantry,Consumables,770,3816
10/16/20,Pantry,Consumables,1091,4959
10/17/20,Pantry,Consumables,942,4589
10/18/20,Pantry,Consumables,882,4315
10/19/20,Pantry,Consumables,832,4112
10/20/20,Pantry,Consumables,872,3879
10/21/20,Pantry,Consumables,856,4088
10/22/20,Pantry,Consumables,843,4235
10/23/20,Pantry,Consumables,1049,4960
10/24/20,Pantry,Consumables,1041,5060
10/25/20,Pantry,Consumables,919,4217
10/26/20,Pantry,Consumables,840,4179
10/27/20,Pantry,Consumables,768,3865
10/28/20,Pantry,Consumables,741,3457
10/29/20,Pantry,Consumables,754,3683
10/30/20,Pantry,Consumables,939,4543
10/31/20,Pantry,Consumables,946,4442
11/1/20,Pantry,Consumables,831,4176
11/2/20,Pantry,Consumables,817,4068
11/3/20,Pantry,Consumables,694,3492
11/4/20,Pantry,Consumables,697,3302
11/5/20,Pantry,Consumables,649,3155
11/6/20,Pantry,Consumables,782,3577
11/7/20,Pantry,Consumables,913,4266
11/8/20,Pantry,Consumables,945,4824
11/9/20,Pantry,Consumables,904,4274
11/10/20,Pantry,Consumables,834,3802
11/11/20,Pantry,Consumables,723,3591
11/12/20,Pantry,Consumables,763,3844
11/13/20,Pantry,Consumables,990,4755
11/14/20,Pantry,Consumables,1024,4739
11/15/20,Pantry,Consumables,917,4549
11/16/20,Pantry,Consumables,855,4094
11/17/20,Pantry,Consumables,809,4197
11/18/20,Pantry,Consumables,806,3751
11/19/20,Pantry,Consumables,830,4138
11/20/20,Pantry,Consumables,1046,5228
11/21/20,Pantry,Consumables,1050,4856
11/22/20,Pantry,Consumables,932,4353
11/23/20,Pantry,Consumables,925,4139
11/24/20,Pantry,Consumables,829,3712
11/25/20,Pantry,Consumables,707,3621
11/26/20,Pantry,Consumables,739,3929
11/27/20,Pantry,Consumables,1032,4679
11/28/20,Pantry,Consumables,922,4700
11/29/20,Pantry,Consumables,887,4171
11/30/20,Pantry,Consumables,855,4077
12/1/20,Pantry,Consumables,772,4001
12/2/20,Pantry,Consumables,726,3332
12/3/20,Pantry,Consumables,706,3653
12/4/20,Pantry,Consumables,884,4339
12/5/20,Pantry,Consumables,1007,4667
12/6/20,Pantry,Consumables,898,4704
12/7/20,Pantry,Consumables,888,4403
12/8/20,Pantry,Consumables,821,4025
12/9/20,Pantry,Consumables,791,3560
12/10/20,Pantry,Consumables,733,3642
12/11/20,Pantry,Consumables,974,4772
12/12/20,Pantry,Consumables,1008,4959
12/13/20,Pantry,Consumables,887,4483
12/14/20,Pantry,Consumables,796,4230
12/15/20,Pantry,Consumables,770,3465
12/16/20,Pantry,Consumables,653,3146
12/17/20,Pantry,Consumables,661,2998
12/18/20,Pantry,Consumables,680,3430
12/19/20,Pantry,Consumables,941,4742
12/20/20,Pantry,Consumables,984,4927
12/21/20,Pantry,Consumables,996,4544
12/22/20,Pantry,Consumables,951,4557
12/23/20,Pantry,Consumables,786,3752
12/24/20,Pantry,Consumables,832,3821
