Row Labels,Sum of QUANTITY (FAILS)
LLKKF,166114479
HYSR,127263806
BBRW,115176124
ZOM,96775397
ACST,88974314
CFGX,72007200
OZSC,70154987
ALYI,69909064
GMEV,61717635
INQD,51282671
WSGF,51191448
AMC,48360136
RYCEY,48006430
WDLF,40142835
TWOH,39459038
IDEXY,36680152
MYDX,35760181
SPY,34269425
CBDL,33623272
QS,33124011
IMTL,32614966
GCGX,32582984
ETFM,31991963
MFST,31402481
AEXE,30000000
SFOR,29709802
HYLN,27390121
SSOK,26114543
APYP,26012280
DVN,25240907
FUBO,24893527
CTRM,23146075
ABEV,22977569
CRBP,22101757
NXTD,21763687
GRLT,21348674
FSR,20649567
SCHF,20428072
OIBRC,20333743
ELGXQ,20243527
BLSP,19905464
IEMG,19874362
RMSL,19736553
TGMGF,19711253
TMBR,19475263
TXTM,19438110
GME,19351030
ABCE,19018631
AGEEF,18918657
CBWTF,18762238
SAML,18698298
LSSDF,18535884
TLRDQ,18262743
SGMD,18218775
SYN,17869990
SNDL,17744152
MSTO,17691796
TME,16737072
PMCB,16367754
CCIV,16264799
SDEC,16127956
IBIO,15917685
BNGO,15848532
ALKM,15744299
RKT,15633990
RGBP,15102188
LAZR,14785024
BBIN,14574175
CRUU,14330888
HPMM,14299923
TMKRU,14236704
SHMN,14143036
NKLA,14129493
GYOG,14079997
PRTY,13906087
MCOA,13869018
VXRT,13690154
EVUS,13683298
CHUC,13117615
IDEX,13091040
THCT,12857574
CHEK,12748187
ATOS,12529555
EWZ,12292006
IWM,12244128
HOKCY,12087858
VRUS,11950395
PLTR,11738714
SPDL,11687831
EMBI,11617094
INO,11572787
MMEDF,11335712
PUGE,11080156
GPORQ,11033135
CTDH,10854477
VXF,10781943
XBI,10651286
GNUS,10485094
FERN,10429433
BTWN,10332847
TXSO,10294498
IPOFWS,10276265
UBX,10264268
IPOF,10175023
DRGV,10121047
SPRWF,10035672
PKLBF,10026463
ARSN,9988307
MAXD,9978770
PCG,9897459
ATAC,9869270
TPGY,9821585
VUZI,9795356
NAOV,9794248
GRNQ,9681601
ABCL,9474419
VISM,9420746
BIEI,9214599
NABIF,9155189
RTWIQ,9018312
IPOE,8943128
AAL,8940882
TRCH,8912811
HRAL,8863512
NOK,8561579
EEM,8526760
STIC,8411296
GAXY,8382810
LBYYQ,8264574
VEA,8196293
RSHN,8070668
RVVTF,8029047
ACI,7886790
JAGX,7790606
JDST,7695576
IMMP,7667582
LMND,7524609
BTCS,7439572
ATNF,7407199
CBAT,7390349
BREZW,7364961
QQQ,7328057
INDA,7321479
VSYM,7300945
HYG,7206324
