date,adjClose,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2020-05-20,33.45,0.41000000000000003,0.012410000000000001,1.241,33.45,33.48,"May 20, 20",32.99,33.04,5272800.0,5272800.0,33.30667
2020-05-19,32.16,-0.75,-0.02279,-2.279,32.16,32.92,"May 19, 20",32.16,32.91,6209600.0,6209600.0,32.41333
2020-05-18,32.82,0.77,0.024020000000000003,2.402,32.82,32.94,"May 18, 20",32.0,32.05,7926100.0,7926100.0,32.58667
2020-05-15,30.13,-0.16,-0.005280000000000001,-0.528,30.13,30.74,"May 15, 20",29.91,30.29,7620000.0,7620000.0,30.26
2020-05-14,30.17,0.55,0.018570000000000003,1.857,30.17,30.39,"May 14, 20",28.98,29.62,9756700.0,9756700.0,29.84667
2020-05-13,30.72,-1.12,-0.03483,-3.483,31.04,32.17,"May 13, 20",30.77,32.16,7789400.0,7789400.0,31.32667
2020-05-12,31.88,-0.79,-0.023940000000000003,-2.394,32.21,33.09,"May 12, 20",32.21,33.0,4356300.0,4356300.0,32.50333
2020-05-11,32.42,-0.4,-0.012060000000000001,-1.206,32.76,33.26,"May 11, 20",32.7,33.16,4200400.0,4200400.0,32.90667
2020-05-08,33.91,0.71,0.021390000000000003,2.1390000000000002,33.91,33.98,"May 08, 20",33.07,33.2,5987800.0,5987800.0,33.65333
2020-05-07,32.53,-0.45,-0.013640000000000001,-1.3639999999999999,32.53,33.39,"May 07, 20",32.43,32.98,5306900.0,5306900.0,32.78333
2020-05-06,32.06,-1.05,-0.03171,-3.171,32.06,33.25,"May 06, 20",32.04,33.11,6072000.0,6072000.0,32.45
2020-05-05,33.07,-1.21,-0.035300000000000005,-3.5300000000000002,33.07,34.82,"May 05, 20",32.96,34.28,13399700.000000002,13399700.000000002,33.61667
2020-05-04,32.75,0.84,0.026320000000000003,2.632,32.75,32.84,"May 04, 20",31.63,31.91,10793300.000000002,10793300.000000002,32.40667
2020-05-01,31.29,-0.56,-0.017580000000000002,-1.758,31.29,32.08,"May 01, 20",31.11,31.85,11511900.0,11511900.0,31.49333
2020-04-30,33.13,-0.59,-0.0175,-1.75,33.13,34.08,"April 30, 20",32.65,33.72,20520999.999999996,20520999.999999996,33.28667
2020-04-29,38.01,0.8200000000000001,0.02205,2.205,38.01,38.07,"April 29, 20",37.1,37.19,5712000.0,5712000.0,37.72667
