date,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2018-01-01 00:00:00,11425.979115,1852.663959,2823.409245,1135.360907,18584.343617,3831.649454,9151.190703,1762.472684,50567.069682
2018-01-01 01:00:00,11408.418023,1850.169452,2809.745403,1136.630855,18524.141392,3988.271046,9144.993712,1754.718094,50617.087977
2018-01-01 02:00:00,11405.198365,1858.269586,2797.802576,1135.930264,18532.056616,4076.086451,9141.036615,1747.919615,50694.300087
2018-01-01 03:00:00,11450.560138,1879.623596,2807.79388,1146.069491,18647.444612,4154.939804,9157.956866,1755.203307,50999.591693
2018-01-01 04:00:00,11631.337459,1876.48132,2822.989206,1154.186967,19002.102222,4247.451523,9214.333628,1774.84969,51723.732017
2018-01-01 05:00:00,11939.405049,1903.008862,2841.666813,1182.42753,19477.360921,4389.046928,9409.494736,1813.223416,52955.634255
2018-01-01 06:00:00,12268.832464,1961.792667,2854.736968,1212.748305,19984.222251,4512.573897,9647.193704,1860.981928,54303.082184
2018-01-01 07:00:00,12422.876074,1996.430639,2883.960527,1241.484584,20289.365819,4601.523776,9763.963865,1899.662151,55099.267435
2018-01-01 08:00:00,12605.145217,2012.832449,2880.94004,1243.858057,20338.611561,4709.234654,9843.842078,1919.423152,55553.887208
2018-01-01 09:00:00,12852.516762,2008.724253,2888.711633,1244.104924,20250.287356,4898.245789,9995.224032,1932.575706,56070.390455
2018-01-01 10:00:00,12915.228688,1956.002089,2862.091398,1217.568922,19996.932885,5016.999149,10061.267426,1922.832961,55948.923519
2018-01-01 11:00:00,12898.770983,1891.06556,2833.658561,1184.264437,19485.195733,5090.209277,9997.845444,1896.72031,55277.730307
2018-01-01 12:00:00,12799.620971,1815.909613,2783.858271,1134.713548,18761.460694,5100.90246,9841.931545,1859.402373,54097.799474
2018-01-01 13:00:00,12561.386873,1739.007802,2726.046137,1083.39332,17929.187166,5083.485759,9699.133788,1816.434569,52638.075414
2018-01-01 14:00:00,12276.07701,1691.228853,2677.41173,1050.480889,17300.427959,5100.077275,9579.295647,1773.201351,51448.200715
2018-01-01 15:00:00,12013.029606,1683.750687,2641.891806,1035.011838,17035.043144,5101.779628,9530.976284,1748.158324,50789.641318
2018-01-01 16:00:00,12163.408331,1740.978599,2641.471646,1046.392702,17279.864978,5127.031265,9602.773684,1750.394577,51352.315781
2018-01-01 17:00:00,12904.772405,1882.021676,2704.640225,1108.087026,18599.936138,5238.725464,9969.076943,1804.736007,54211.995884
2018-01-01 18:00:00,13557.376702,1987.769115,2857.672542,1158.521727,19778.254277,5451.474656,10332.28421,1881.123056,57004.476284
2018-01-01 19:00:00,13638.320311,2012.168566,2893.799901,1164.423819,19960.196268,5484.945603,10259.674798,1883.870179,57297.399445
2018-01-01 20:00:00,13662.919186,2027.695331,2900.219041,1165.083197,20001.501394,5479.910035,10139.775566,1869.852809,57246.956558
2018-01-01 21:00:00,13500.72834,2009.949776,2881.12488,1153.707,19719.389834,5395.650094,9841.963936,1836.796158,56339.310019
2018-01-01 22:00:00,13104.628906,1945.96311,2831.63557,1122.272556,18993.500731,5250.637931,9373.655083,1779.747344,54402.04123
2019-01-01 00:00:00,9783.594839,1264.194059,3164.720629,827.759428,11697.766093,3066.891146,5993.974289,1282.542956,37081.443439
2019-01-01 01:00:00,9726.062326,1270.494294,3178.950849,830.256302,11787.936174,3140.383209,6029.77397,1295.132811,37258.989933
2019-01-01 02:00:00,9654.373521,1269.504203,3200.88116,831.505553,11861.628382,3137.721342,6043.348512,1301.225133,37300.187809
2019-01-01 03:00:00,9631.735303,1243.168422,3221.963116,839.689838,11989.105118,3105.497101,6086.408464,1305.976101,37423.543464
2019-01-01 04:00:00,9698.889228,1309.572865,3240.63487,848.672153,12219.106347,3078.256356,6180.939962,1319.140512,37895.212293
2019-01-01 05:00:00,9850.791921,1364.251125,3259.303161,874.457615,12631.938781,3096.463894,6394.966069,1352.916853,38825.089419
2019-01-01 06:00:00,10053.124249,1414.869283,3282.576181,907.057399,13073.653226,3130.346687,6662.74478,1386.283765,39910.65557
2019-01-01 07:00:00,10088.528318,1407.525873,3291.417183,930.808819,13427.370261,3096.182372,6775.906192,1418.81717,40436.556189
2019-01-01 08:00:00,10001.453603,1438.70733,3303.175825,954.01173,13834.752152,3082.596381,6874.323392,1461.137815,40950.158227
2019-01-01 09:00:00,9947.80645,1438.883855,3346.017515,980.06677,14452.582093,3084.485727,7023.877894,1489.750807,41763.471112
2019-01-01 10:00:00,9953.00723,1411.744404,3371.662553,992.921654,14934.419595,3061.294598,7030.857103,1494.03069,42249.937827
2019-01-01 11:00:00,9905.202837,1369.206025,3371.561463,993.253887,15208.941173,3044.226304,6907.522216,1496.766191,42296.680097
2019-01-01 12:00:00,9760.646147,1319.393174,3386.182171,978.510151,15171.917245,3008.081778,6768.360856,1486.086416,41879.177938
2019-01-01 13:00:00,9639.941397,1258.408292,3391.138346,967.555068,14971.34951,2957.981397,6721.811288,1468.123337,41376.308635
2019-01-01 14:00:00,9520.579355,1254.021219,3370.743462,960.318028,14719.894761,2925.668209,6787.916073,1452.205018,40991.346125
2019-01-01 15:00:00,9503.749868,1233.605074,3359.427052,963.571046,14659.657033,2916.308436,6912.714129,1466.854016,41015.886654
2019-01-01 16:00:00,9618.590429,1284.277883,3365.120092,980.231164,15006.431234,2954.287833,7145.426317,1487.814419,41842.179371
2019-01-01 17:00:00,10143.489969,1353.607687,3405.088033,1036.23229,15909.35423,3089.903162,7586.901281,1534.168056,44058.744708
2019-01-01 18:00:00,10372.182952,1447.556586,3454.409525,1060.542118,16367.45641,3254.016288,7865.293612,1579.166929,45400.62442
2019-01-01 19:00:00,10309.19315,1415.78038,3475.772464,1054.582276,16295.128864,3277.806525,7836.895288,1580.882704,45246.041652
2019-01-01 20:00:00,10168.583554,1426.397,3464.31652,1049.369228,16186.611643,3268.510483,7709.593502,1570.923669,44844.305598
2019-01-01 21:00:00,9952.242644,1382.889867,3441.431939,1030.560495,15779.653823,3236.455077,7532.937225,1545.609548,43901.78062
2019-01-01 22:00:00,9587.759055,1353.961672,3398.602335,992.659279,15093.00109,3135.010869,7153.153061,1492.448314,42206.595675
2019-01-01 23:00:00,10008.271141,1271.837587,3120.418939,826.962308,11775.973366,3071.164955,6035.861773,1260.779203,37371.269273
2020-01-01 00:00:00,9890.091522,1364.278198,3721.972022,773.878822,11719.863767,2707.841517,5473.246071,1172.943179,36824.115099
2020-01-01 01:00:00,9751.586415,1369.569694,3735.514034,775.063743,11639.455987,2706.844837,5387.380467,1165.951313,36531.366488
2020-01-01 02:00:00,9603.421087,1373.52872,3735.851866,774.153775,11515.421981,2650.378864,5270.331958,1149.076769,36072.16502
2020-01-01 03:00:00,9501.585599,1365.630426,3743.517881,778.097301,11518.35902,2586.709109,5200.960612,1141.301918,35836.161867
2020-01-01 04:00:00,9499.426925,1385.600323,3753.898979,784.077729,11649.293449,2548.852381,5230.298774,1147.094161,35998.542722
2020-01-01 05:00:00,9589.74263,1404.982305,3766.918935,806.030713,11872.949299,2556.814539,5338.59214,1151.005083,36487.035645
2020-01-01 06:00:00,9695.404566,1425.235224,3762.863514,820.870569,12140.113293,2568.121781,5503.710978,1182.731729,37099.051655
2020-01-01 07:00:00,9734.792002,1449.61856,3771.618402,834.970817,12293.355516,2556.81672,5588.628108,1218.635213,37448.435337
2020-01-01 08:00:00,9849.178207,1460.065062,3776.81089,846.286928,12496.006501,2600.881496,5709.268127,1249.68385,37988.181062
2020-01-01 09:00:00,10142.601517,1436.905935,3822.10405,851.500837,12831.480353,2737.433844,5917.158325,1266.347735,39005.532595
2020-01-01 10:00:00,10434.944633,1467.94958,3832.299421,850.97161,13199.830729,2851.125018,6103.925684,1270.163998,40011.210673
2020-01-01 11:00:00,10646.12338,1481.551389,3830.758398,845.018512,13249.60417,2941.058312,6153.404424,1257.538528,40405.057113
2020-01-01 12:00:00,10693.771895,1430.427189,3812.809929,823.282491,13111.381419,2996.738531,6212.330991,1239.982733,40320.725177
2020-01-01 13:00:00,10601.966184,1416.227324,3784.997453,804.712409,12882.251028,2986.576721,6198.229817,1230.48684,39905.447776
2020-01-01 14:00:00,10518.264838,1388.951533,3766.763367,791.027362,12585.628994,2977.088123,6137.564934,1219.563711,39384.852861
2020-01-01 15:00:00,10459.091434,1392.920976,3741.518064,779.597822,12355.044151,2979.196915,6123.704192,1207.198266,39038.271821
2020-01-01 16:00:00,10489.812082,1396.660198,3757.088145,787.356181,12405.857931,2994.638058,6206.896476,1216.771419,39255.080489
2020-01-01 17:00:00,10877.519766,1434.215153,3781.104354,822.600379,12996.476508,3088.051177,6487.625585,1249.237018,40736.82994
2020-01-01 18:00:00,11021.175321,1472.40751,3826.625241,837.139336,13399.93293,3217.823708,6674.185988,1288.453094,41737.743128
2020-01-01 19:00:00,10891.344109,1471.499906,3822.093481,822.960248,13202.036378,3203.666256,6569.938028,1289.942278,41273.480684
2020-01-01 20:00:00,10720.986311,1420.158893,3796.07206,809.954545,12959.992547,3150.629516,6410.358117,1283.037181,40551.189171
2020-01-01 21:00:00,10437.422564,1374.982399,3769.20774,784.113742,12513.713566,3082.388207,6164.698124,1255.776824,39382.303166
2020-01-01 22:00:00,9978.618301,1287.651953,3729.656056,747.155657,11815.853917,2954.495543,5838.722201,1211.152073,37563.3057
2020-01-01 23:00:00,10019.771129,1357.841863,3628.068853,790.865357,12084.77597,2747.692143,5614.231555,1217.592105,37460.838975
2021-01-01 00:00:00,11047.018793,1517.435253,3978.220628,838.35281,13575.277728,3545.09331,7778.262533,1440.18856,43719.849616
2021-01-01 01:00:00,10954.470339,1523.683893,3975.757045,825.123437,13340.337915,3586.547882,7693.744119,1421.385715,43321.050347
2021-01-01 02:00:00,10883.65724,1519.800916,3969.812081,819.551228,13311.625189,3586.124059,7566.951524,1405.544826,43063.067063
2021-01-01 03:00:00,10926.482445,1523.472963,3983.487761,820.612439,13356.442066,3570.592369,7506.685527,1402.283632,43090.059203
2021-01-01 04:00:00,11019.796399,1565.625573,3980.940744,831.607158,13528.651487,3590.902242,7563.971854,1405.094618,43486.590073
2021-01-01 05:00:00,11177.295498,1620.182536,3989.045927,846.885426,13856.236844,3647.147106,7716.803602,1411.722584,44265.319522
2021-01-01 06:00:00,11410.561091,1674.471044,4002.890462,871.252822,14264.48312,3739.704895,7899.134781,1427.790026,45290.288241
2021-01-01 07:00:00,11520.858079,1734.114479,4005.830334,892.653632,14561.962288,3762.622802,8021.636984,1448.145848,45947.824447
2021-01-01 08:00:00,11527.478175,1767.963394,3984.835018,909.838172,14834.580806,3738.518505,7878.398455,1449.030452,46090.642978
2021-01-01 09:00:00,11575.082495,1800.630833,3952.641191,927.238195,15226.184006,3661.655309,7614.075689,1421.224385,46178.732104
2021-01-01 10:00:00,11564.602693,1796.552473,3924.61958,930.782597,15511.869504,3574.501791,7341.170941,1378.110615,46022.210194
2021-01-01 11:00:00,11449.634828,1787.011955,3886.967717,934.501859,15640.479792,3423.741774,7030.816356,1337.123978,45490.278259
2021-01-01 12:00:00,11239.409645,1780.165204,3850.069053,925.169864,15596.015741,3263.690203,6654.424096,1291.665744,44600.609551
2021-01-01 13:00:00,10991.154353,1755.463028,3812.649707,911.447486,15448.061106,3138.651684,6328.485747,1239.950293,43625.863405
2021-01-01 14:00:00,10771.280398,1724.395174,3795.833509,899.229915,15231.373602,3037.145733,6094.220976,1204.311276,42757.790583
2021-01-01 15:00:00,10723.901378,1680.752807,3774.070508,894.75073,15156.289428,2997.435118,6006.420645,1183.891751,42417.512364
2021-01-01 16:00:00,10854.774707,1739.017885,3783.264989,891.312711,15214.914935,2994.27452,6092.15227,1190.710299,42760.422315
2021-01-01 17:00:00,11432.511543,1843.928366,3817.358102,915.649509,15742.912778,3107.385004,6530.55451,1253.620533,44643.920344
2021-01-01 18:00:00,11960.571391,1893.964784,3892.413733,924.141155,15892.133052,3291.20377,7117.33296,1329.601864,46301.362708
2021-01-01 19:00:00,12011.266273,1872.936388,3904.442565,918.705404,15729.316196,3309.446383,7236.112056,1335.790492,46318.015757
2021-01-01 20:00:00,12003.201966,1855.795421,3910.682167,910.994059,15419.293318,3289.514109,7287.59984,1347.104756,46024.185636
2021-01-01 21:00:00,11913.447213,1808.996707,3896.849202,898.569284,15057.459135,3265.42063,7284.436602,1339.513071,45464.691844
2021-01-01 22:00:00,11652.654055,1744.386101,3879.350119,868.796461,14439.829917,3195.54685,7149.474073,1306.6361,44236.673676
2021-01-01 23:00:00,11168.525005,1587.730775,3871.535088,861.787382,14198.042157,3503.378353,7826.044794,1486.503788,44503.547341
2018-01-02 00:00:00,12954.537902,1877.850143,2908.413387,1109.397035,18245.551189,5105.512996,7348.836905,1630.070753,51180.170308
2018-01-02 01:00:00,12762.327639,1863.547398,2896.248893,1112.716239,18041.577555,5011.840587,7172.200318,1632.212047,50492.670675
2018-01-02 02:00:00,12672.315339,1870.34964,2903.210373,1121.27207,17954.63557,4964.10607,7093.978184,1640.709046,50220.576292
2018-01-02 03:00:00,12720.793459,1884.483748,2914.421866,1129.755233,17999.005885,4951.615062,7115.693891,1660.432837,50376.201982
2018-01-02 04:00:00,12982.667628,1923.416604,2931.034428,1146.109919,18313.723388,4972.134968,7280.396525,1696.699512,51246.182974
2018-01-02 05:00:00,13540.019978,2006.795898,2974.955401,1186.324368,19110.142148,5129.004256,7655.649529,1756.397539,53359.289118
2018-01-02 06:00:00,14259.42434,2114.644121,3034.233376,1242.554411,20146.481773,5378.286584,8150.989134,1849.019317,56175.633055
2018-01-02 07:00:00,14662.846126,2187.384829,3072.44662,1280.037932,20703.405707,5512.890635,8469.275456,1916.985805,57805.27311
2018-01-02 08:00:00,14847.382843,2235.55871,3040.624943,1297.940244,20821.650438,5606.689104,8577.657318,1920.036009,58347.539609
2018-01-02 09:00:00,15078.538742,2254.583602,3034.994556,1303.390357,20987.821314,5695.718248,8691.766238,1930.067448,58976.880505
2018-01-02 10:00:00,15249.140669,2190.934461,3030.589375,1295.125355,20975.021129,5739.273063,8765.603381,1924.066001,59169.753435
2018-01-02 11:00:00,15162.499621,2152.005718,2996.401297,1274.245862,20799.499354,5711.042901,8733.728135,1898.645467,58728.068357
2018-01-02 12:00:00,14982.158825,2157.797559,2946.618682,1241.67484,20494.025101,5621.867437,8632.557963,1866.738933,57943.43934
2018-01-02 13:00:00,14868.700765,2125.448498,2921.3781,1203.334087,20298.204846,5543.702175,8537.784394,1843.340567,57341.893431
2018-01-02 14:00:00,14784.344707,2085.825759,2897.568842,1186.081622,20172.897527,5527.973034,8497.119073,1826.63352,56978.444083
2018-01-02 15:00:00,14708.812835,2107.649023,2835.928934,1179.921248,20255.112195,5538.8118,8585.925381,1818.631763,57030.79318
2018-01-02 16:00:00,14844.783168,2126.89917,2809.171757,1174.960739,20683.040208,5616.724563,8819.099717,1810.779572,57885.458894
2018-01-02 17:00:00,15397.699819,2222.170151,2859.861319,1220.229106,21580.648399,5785.468625,9271.574372,1846.098748,60183.750538
2018-01-02 18:00:00,15655.352391,2274.207068,3003.968481,1264.504807,22168.940606,6034.879655,9616.555198,1930.271231,61948.679437
2018-01-02 19:00:00,15562.069508,2258.653598,3044.367963,1264.402334,22015.781676,6093.725044,9593.216272,1949.397263,61781.61366
2018-01-02 20:00:00,15390.067458,2229.261247,3054.217741,1255.743207,21687.8635,6082.712631,9477.469647,1948.076487,61125.411918
2018-01-02 21:00:00,15016.040427,2186.806203,3025.21549,1226.147537,21024.752063,5989.837881,9172.005387,1908.318117,59549.123106
2018-01-02 22:00:00,14447.10057,2087.447707,2976.394978,1185.455899,19962.690073,5792.926852,8685.521196,1847.175822,56984.713096
2018-01-02 23:00:00,12677.627524,1893.638031,2773.976607,1101.11194,18346.962058,5072.793596,8960.333108,1724.360822,52550.803685
2019-01-02 00:00:00,8889.363312,1184.106475,3324.884585,938.642404,14014.608659,2940.094051,6573.774475,1381.268592,39246.742553
2019-01-02 01:00:00,8661.61887,1164.736273,3318.668691,926.053965,13809.737419,2869.63053,6459.937849,1367.581151,38577.964749
2019-01-02 02:00:00,8565.015532,1162.652273,3306.434394,918.482974,13787.782632,2857.402866,6470.463292,1365.907024,38434.140987
2019-01-02 03:00:00,8624.582628,1178.840372,3325.499763,925.78832,13959.925042,2889.292037,6549.62458,1377.427461,38830.980204
2019-01-02 04:00:00,8904.374337,1231.53156,3357.092793,944.332292,14449.9095,2981.982561,6803.046927,1399.820111,40072.090081
2019-01-02 05:00:00,9460.871472,1317.150919,3392.219684,989.21107,15426.509987,3174.251495,7276.341811,1449.24063,42485.797068
2019-01-02 06:00:00,10145.873106,1416.937152,3422.647466,1040.534569,16532.656254,3426.475976,7798.056581,1516.541923,45299.723027
