Date,cum_power
10/26/11,0.1
10/27/11,10.2
10/28/11,20.2
10/29/11,29.6
10/30/11,34.2
10/31/11,38
11/1/11,46.6
11/2/11,51.6
11/3/11,58.6
11/4/11,60.5
11/5/11,65.7
11/6/11,71.8
11/7/11,73.3
11/8/11,73.8
11/9/11,76.1
11/10/11,82.5
11/11/11,89.1
11/12/11,95.5
11/13/11,99.9
11/14/11,101.4
11/15/11,109.1
11/16/11,116
11/17/11,122.3
11/18/11,124.3
11/19/11,130.5
11/20/11,136.5
11/21/11,142.5
11/22/11,145
11/23/11,148.3
11/24/11,149.8
11/25/11,151.7
11/26/11,152.4
11/27/11,156.1
11/28/11,157.4
11/29/11,163.9
11/30/11,165.3
12/1/11,170.7
12/2/11,172.1
12/3/11,174.7
12/4/11,175.3
12/5/11,176.3
12/6/11,178.8
12/7/11,180.5
12/8/11,182
12/9/11,183.6
12/10/11,188.4
12/11/11,192.6
12/12/11,195
12/13/11,197.8
12/14/11,199.1
12/15/11,200.1
12/16/11,201.6
12/17/11,201.8
12/18/11,205.4
12/19/11,209.7
12/20/11,211.6
12/21/11,214.4
12/22/11,215.3
12/23/11,216.2
12/24/11,217.4
12/25/11,219.7
12/26/11,220.3
12/27/11,220.7
12/28/11,221.2
12/29/11,221.7
12/30/11,222.6
12/31/11,226.2
1/1/12,226.7
1/2/12,227.5
1/3/12,230.4
1/4/12,231.2
1/5/12,233.9
1/6/12,235.5
1/7/12,236.5
1/8/12,240.6
1/9/12,245.8
1/10/12,246.8
1/11/12,248.3
1/12/12,249.9
1/13/12,251.3
1/14/12,254.7
1/15/12,258.1
1/16/12,263.5
1/17/12,269.4
1/18/12,274.8
1/19/12,276.5
1/20/12,277.3
1/21/12,278.1
1/22/12,278.9
1/23/12,282.8
1/24/12,286.1
1/25/12,288.2
1/26/12,289.6
1/27/12,290.7
1/28/12,297
1/29/12,300.3
1/30/12,301.6
1/31/12,301.8
2/1/12,307.4
2/2/12,315.8
2/3/12,324.3
2/4/12,326.6
2/5/12,334.2
2/6/12,339.8
2/7/12,348.4
2/8/12,355.7
2/9/12,363.6
2/10/12,367.3
2/11/12,376.9
2/12/12,383.3
2/13/12,385.9
2/14/12,388.9
2/15/12,393.6
2/16/12,396
2/17/12,399.6
2/18/12,404.8
2/19/12,406.3
2/20/12,413.6
2/21/12,424.3
2/22/12,430.7
2/23/12,436.9
2/24/12,439.3
2/25/12,441.6
2/26/12,450.7
2/27/12,453.3
2/28/12,457.2
2/29/12,458.7
3/1/12,461.2
3/2/12,463.5
3/3/12,465.3
3/4/12,471.4
3/5/12,475.5
3/6/12,477.1
3/7/12,483.5
3/8/12,485.8
3/9/12,498
3/10/12,504.1
3/11/12,508.2
3/12/12,524.3
3/13/12,538
3/14/12,541.5
3/15/12,554.7
3/16/12,571.9
3/17/12,587.6
3/18/12,592.5
3/19/12,601.5
3/20/12,619.3
3/21/12,632.5
3/22/12,650.8
3/23/12,668.5
3/24/12,686.2
3/25/12,703.3
3/26/12,723.5
3/27/12,742.8
3/28/12,760.7
3/29/12,780.1
3/30/12,794.3
3/31/12,796.6
4/1/12,804.2
4/2/12,823.3
4/3/12,844.2
4/4/12,860.3
4/5/12,872.4
4/6/12,878.2
4/7/12,900.2
4/8/12,910.9
4/9/12,922.1
4/10/12,927.9
4/11/12,933.1
4/12/12,940.5
4/13/12,953.9
4/14/12,972.9
4/15/12,992.4
