Year,1,2,3,4,5,6,7,8,9,10,11,12
2000,56.5,61.7,66.4,67.9,78.1,81.3,85.2,84.8,79.4,70.9,57.6,47.6
2001,49.3,59.3,56.4,71.7,75.9,80.5,83.5,83.5,77,66.9,63.4,55.9
2002,54.5,50.7,61.3,73.5,77,81.6,84.5,83.9,79.7,71.5,58.8,54.5
2003,50.1,53.8,61.4,70.5,80.7,82.7,83.3,84.7,77.7,71.7,65,53.8
2004,54.7,53.5,67.3,69.5,76.9,81.1,84.6,83.1,81.2,77.5,62,53.8
2005,56.3,58.8,61.7,67.7,75.3,83.3,84.4,84.6,83.4,71.1,64.5,53.1
2006,58.9,55.5,65.6,73.6,76.7,81.4,83.3,84.9,79.4,72.4,62.6,55.7
2007,50.5,55.1,65.9,66.7,76.4,82.5,82.2,85.4,81.9,73,63.7,57.6
2008,52.2,60.1,63.6,69.4,77.8,84.5,84.9,84,78.1,69.5,62.4,55.6
2009,53.9,61.2,62.8,68.6,78.1,85.6,87.4,86.2,79,71,62.5,50.2
2010,49,48.5,59.1,69.5,79.4,84.7,84,87.7,81.4,72.9,62.2,55.4
2011,51.3,55,66.5,74.9,78.7,86.2,87.1,90.4,82.9,70.8,63.1,54.6
2012,58.8,60.1,69,73.6,78.8,83.7,82.9,86.1,79.7,70.9,62.9,58.7
2013,55.5,58.4,61.2,66.6,75.5,84.4,84.1,85.3,82.4,71.3,58.1,51.4
2014,49.5,54.7,58.8,69.4,74.1,82.5,83.7,84.6,80.6,72.8,57.4,57
2015,49.8,52.6,62.5,72.5,77,82.2,86.1,85,79.9,73.3,63.1,59.4
2016,52.4,59.1,65.4,69,74.5,82.1,87.1,84.6,82.7,75,66.7,58.6
2017,59.9,66.4,68.2,71.8,76.3,82.1,85.3,83.7,79.8,72,67.2,53.7
2018,48.6,62.5,67.6,66.9,79.8,84.9,85.8,85.3,80.7,72.3,58.7,55.6
2019,53.4,59.7,62,69.7,78.6,82.7,84.9,87.6,83.9,71.8,60,57.6
2020,57.9,56.9,71,70.8,78,82.5,86.6,86.6,81,,,
